Date,Campaign,Ad Group,Ad Group ID,Creative,Creative ID,Inventory Contract,Media Cost (USD),ECPM,Impressions,Clicks
03/03/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|c3kj5o,rkidxve,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_15s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|uwjixg,s2uoyxcm,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,"1,032.61",20.13,"51,299",43
03/02/2025,GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_x_x_x_High Impact Display_LiveRamp_x:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Venti Video LiveRamp Audience_x_x:|lzf1f8,5qbpdsw,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_06s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Venti Video LiveRamp Audience_x_x:|mj3c7w,8w9zymm4,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,547.16,8.62,"63,447",91
03/02/2025,GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_x_x_x_High Impact Display_LiveRamp_x:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Venti Video LiveRamp Audience_x_x:|lzf1f8,5qbpdsw,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_15s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Venti Video LiveRamp Audience_x_x:|yq0h6u,bw6zvwlo,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,546.71,8.63,"63,382",75
03/02/2025,GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_x_x_x_High Impact Display_LiveRamp_x:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_DISPLAY_hiae_cpm_3p_us-nat_x_en_x_x_ssf_x_pkg_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display_x:|oh4303,6yzlb8m,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|9vxk4s,5ilj9fd3,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,316.62,8.28,"38,254",671
03/02/2025,GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_x_x_x_High Impact Display_LiveRamp_x:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_DISPLAY_hiae_cpm_3p_us-nat_x_en_x_x_ssf_x_pkg_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display_x:|oh4303,6yzlb8m,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|c0d715,nnxczqvg,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,320.94,8.28,"38,770",585
03/02/2025,GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_x_x_x_High Impact Display_LiveRamp_x:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_DISPLAY_hiint_cpm_3p_us-nat_x_en_x_x_ssf_x_pkg_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Venti Display_x:|i07prx,pfr32qi,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Venti Display - GE_:|v08kvb,ebm1ltzj,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,275.79,7.46,"36,991",55
03/02/2025,GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_x_x_x_High Impact Display_LiveRamp_x:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_DISPLAY_hiint_cpm_3p_us-nat_x_en_x_x_ssf_x_pkg_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Venti Display_x:|i07prx,pfr32qi,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Venti Display - SMB_:|dcnzpo,6y9bfr41,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,274.99,7.46,"36,885",58
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|169xls,w5sn17t,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_06s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|o6rl20,fyiakgd8,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,61.42,24.00,"2,559",1
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|169xls,w5sn17t,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_06s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|o6rl20,ydalaf7e,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,59.69,24.02,"2,485",1
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|169xls,w5sn17t,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_15s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|uwjixg,7dvhruhe,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,59.94,24.03,"2,495",5
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|169xls,w5sn17t,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_15s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|uwjixg,s2uoyxcm,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,62.33,24.03,"2,594",2
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|c3kj5o,rkidxve,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_06s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|o6rl20,fyiakgd8,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,274.13,21.69,"12,638",8
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|c3kj5o,rkidxve,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_06s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|o6rl20,ydalaf7e,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,268.95,21.70,"12,395",12
03/02/2025,GCRU25US000_2D-15801762_DIG_US_RMI H1'25 Wave 1 OLV OE + PMP_omg_q1-25_BURST1_AWR_PROG_TRADEDESK_infv_x_x_High Impact OLV_LiveRamp_x:|0cxq3l,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_mlt_x_ssp_x_pkg_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|c3kj5o,rkidxve,GCRU25US000_DIG_BURST1_awa_TRADEDESK_KARGO_CUSTOM_ctm_cpm_x_us-nat_x_en_1x1_15s_ssp_x_cld_cpm_btdemo_cus_a18p-opnelt-x_x_Enhanced Pre-Roll w/ Branded Canvas LiveRamp_x_x:|uwjixg,7dvhruhe,KARGO_REPLACE_NAME_Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,273.81,21.69,"12,624",11
