Campaign Name,Placement Name,Media Property,Delivery Site,Monitored Ads,Eligible Impressions,Measurement Rate,Measured Impressions,Authentic Viewable Rate,Authentic Viewable Impressions,Viewable Rate,Viewable Impressions,Average Time (s) - Viewable Impressions,Total Viewable Time (s),100% Display Viewable Rate,100% Display Viewable Impressions,50% Display Viewable 1-5 Secs Rate,50% Display Viewable 5-15 Secs Rate,50% Display Viewable >15 Secs Rate,Authentic Custom Viewable Rate,Authentic Custom Viewable Impressions,Custom Viewable Rate,Custom Viewable Impressions
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,okmagazine.com,"3,575","3,575",0.76979,"2,752",0.335392,923,0.863735,"2,377",16.26639209,"38,665.21",0.237491,655,0.201958,0.232052,0.426759,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,wmtw.com,"3,573","3,573",0.814162,"2,909",0.453764,"1,320",0.92781,"2,699",19.16597147,"51,728.96",0.062029,181,0.183687,0.158328,0.582934,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,complex.com,"3,559","3,559",0.922169,"3,282",0.679464,"2,230",0.82145,"2,696",9.623520401,"25,945.01",0.127245,418,0.203653,0.418874,0.198174,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,tlc.com,"3,523","3,522",0.83674,"2,947",0.648117,"1,910",0.760095,"2,240",12.80071429,"28,673.60",0.140047,413,0.291963,0.260766,0.20685,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,okmagazine.com,"3,512","3,512",0.788155,"2,768",0.338873,938,0.87211,"2,414",16.09239229,"38,847.04",0.237838,660,0.217297,0.230631,0.421261,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,allthingsmamma.com,"3,495","3,495",0.921888,"3,222",0.61856,"1,993",0.961825,"3,099",24.90488351,"77,180.23",0.137527,446,0.065372,0.077089,0.813136,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,space.com,"3,474","3,474",0.848014,"2,946",0.87814,"2,587",0.966395,"2,847",31.54651212,"89,812.92",0.054934,162,0.149881,0.148525,0.667006,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,allthingsmamma.com,"3,442","3,442",0.910517,"3,134",0.622846,"1,952",0.959158,"3,006",24.69376181,"74,229.45",0.140908,444,0.064424,0.082513,0.807045,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,tlc.com,"3,432","3,432",0.843531,"2,895",0.656649,"1,901",0.766494,"2,219",12.67861244,"28,133.84",0.139071,404,0.298795,0.257143,0.207917,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,wkbw.com,"3,432","3,432",0.872086,"2,993",0.548613,"1,642",0.903441,"2,704",19.6973432,"53,261.62",0.191731,575,0.181394,0.161387,0.558186,,,,
