Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
3/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"126,528",$888.78 ,$7.02 ,"388,413,200","347,988","354,016",0.09%,36.36%,$7.03 ,100.43%
3/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"255,688","$4,780.38 ",$18.70 ,"781,405,100","1,516,699","1,517,017",0.19%,16.86%,$18.71 ,110.06%
3/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"216,830","$1,585.34 ",$7.31 ,"1,017,005,800","673,200","678,561",0.07%,32.21%,$7.31 ,100.27%
3/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"534,743","$3,906.15 ",$7.30 ,"1,071,022,300","1,577,049","1,623,295",0.15%,33.91%,$7.32 ,100.41%
3/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"203,632","$1,430.17 ",$7.02 ,"372,616,800","586,476","597,625",0.16%,34.72%,$7.04 ,100.57%
3/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"235,806","$4,128.28 ",$17.51 ,"722,157,300","1,323,433","1,323,923",0.18%,17.82%,$17.50 ,102.94%
3/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"580,718","$3,669.51 ",$6.32 ,"1,071,022,300","1,881,532","1,946,152",0.18%,30.86%,$6.36 ,101.11%
3/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"208,677","$1,465.16 ",$7.02 ,"355,837,300","566,736","575,521",0.16%,36.82%,$7.04 ,100.57%
3/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"480,323","$3,506.56 ",$7.30 ,"1,049,013,900","1,305,627","1,327,793",0.12%,36.79%,$7.31 ,100.27%
3/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"646,445","$4,080.38 ",$6.31 ,"1,049,013,900","2,129,472","2,202,239",0.20%,30.36%,$6.35 ,100.95%
