Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
3/28/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"87,965",$616.07 ,$7.00 ,"280,199,200","325,185","325,774",0.12%,27.05%,$7.00 ,100.00%
3/28/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"183,240","$1,336.39 ",$7.29 ,"881,577,100","814,007","820,310",0.09%,22.51%,$7.29 ,100.00%
3/28/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"733,237","$13,620.08 ",$18.58 ,"588,737,700","3,487,394","3,613,750",0.59%,21.03%,$18.07 ,106.29%
3/28/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,500,553,200",0,0,0.00%,0.00%,$0.00 ,0.00%
3/28/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"445,372","$2,804.10 ",$6.30 ,"881,577,100","2,343,596","2,655,183",0.27%,19.00%,$5.71 ,90.78%
3/29/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"8,128,144,600",0,0,0.00%,0.00%,$0.00 ,0.00%
3/29/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"96,252",$674.01 ,$7.00 ,"311,256,500","364,156","364,451",0.12%,26.43%,$7.00 ,100.00%
3/29/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"188,150","$1,372.10 ",$7.29 ,"873,322,300","766,512","769,470",0.09%,24.55%,$7.29 ,100.00%
3/29/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"710,555","$13,512.23 ",$19.02 ,"619,879,700","3,360,889","3,505,589",0.54%,21.14%,$18.48 ,108.71%
3/29/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"417,038","$2,624.96 ",$6.29 ,"873,322,300","2,101,397","2,397,558",0.24%,19.85%,$5.67 ,90.14%
3/29/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"87,430","$3,325.24 ",$38.03 ,"619,879,700","256,576","256,659",0.04%,34.08%,$34.57 ,230.47%
3/30/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"183,651","$1,339.35 ",$7.29 ,"967,369,400","702,281","705,445",0.07%,26.15%,$7.29 ,100.00%
3/30/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"8,539,455,300",0,0,0.00%,0.00%,$0.00 ,0.00%
3/30/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"417,746","$2,630.10 ",$6.30 ,"967,369,400","2,053,399","2,449,607",0.21%,20.34%,$5.47 ,86.96%
3/30/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"715,779","$13,397.81 ",$18.72 ,"728,712,400","2,682,352","2,920,047",0.37%,26.68%,$17.59 ,103.47%
3/30/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"49,063","$1,824.25 ",$37.18 ,"728,712,400","136,988","137,002",0.02%,35.82%,$34.16 ,227.73%
3/30/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"93,402",$654.13 ,$7.00 ,"352,151,700","322,155","322,600",0.09%,28.99%,$7.00 ,100.00%
3/31/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"422,232","$2,657.82 ",$6.29 ,"986,653,800","1,860,798","2,203,077",0.19%,22.69%,$5.51 ,87.60%
3/31/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"87,502",$612.76 ,$7.00 ,"319,697,900","275,441","276,210",0.09%,31.77%,$7.00 ,100.00%
3/31/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"40,676","$1,467.88 ",$36.09 ,"645,383,300","120,349","120,373",0.02%,33.80%,$33.72 ,224.80%
3/31/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"187,243","$1,365.53 ",$7.29 ,"986,653,800","681,847","686,367",0.07%,27.46%,$7.29 ,100.00%
3/31/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"714,681","$13,263.65 ",$18.56 ,"645,383,300","2,616,774","2,765,870",0.41%,27.31%,$17.91 ,105.35%
3/31/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,966,718,600",0,0,0.00%,0.00%,$0.00 ,0.00%
4/1/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"439,315","$2,764.61 ",$6.29 ,"964,494,700","1,607,245","1,997,467",0.17%,27.33%,$5.29 ,84.10%
4/1/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"79,989",$560.17 ,$7.00 ,"310,122,200","224,408","226,095",0.07%,35.64%,$7.00 ,100.00%
4/1/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"15,204",$465.04 ,$30.59 ,"636,165,700","49,305","49,308",0.01%,30.84%,$27.21 ,181.40%
4/1/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,756,370,200",0,0,0.00%,0.00%,$0.00 ,0.00%
4/1/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"717,797","$13,138.41 ",$18.30 ,"636,165,700","2,490,934","2,650,393",0.39%,28.82%,$17.47 ,102.76%
4/1/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"176,995","$1,290.80 ",$7.29 ,"964,494,700","542,353","547,504",0.06%,32.63%,$7.29 ,100.00%
4/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,686,528,000",0,0,0.00%,0.00%,$0.00 ,0.00%
4/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"438,198","$2,758.09 ",$6.29 ,"948,730,100","1,653,813","2,066,007",0.17%,26.50%,$5.30 ,84.26%
4/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"19,735",$581.67 ,$29.47 ,"656,291,900","67,471","67,484",0.01%,29.25%,$26.05 ,173.67%
4/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"81,592",$571.43 ,$7.00 ,"305,243,600","226,452","227,769",0.07%,36.03%,$7.00 ,100.00%
4/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"717,620","$12,994.47 ",$18.11 ,"656,291,900","2,553,033","2,731,849",0.39%,28.11%,$17.19 ,101.12%
4/2/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"169,264","$1,234.65 ",$7.29 ,"948,730,100","552,425","562,308",0.06%,30.64%,$7.29 ,100.00%
4/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"168,059","$1,225.64 ",$7.29 ,"946,160,900","558,921","568,717",0.06%,30.07%,$7.29 ,100.00%
4/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"702,356","$12,859.27 ",$18.31 ,"633,256,100","2,739,421","2,935,946",0.43%,25.64%,$17.35 ,102.06%
4/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"25,960",$937.55 ,$36.12 ,"633,256,100","78,538","78,568",0.01%,33.05%,$33.04 ,220.27%
4/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"89,499",$626.81 ,$7.00 ,"325,473,200","253,502","253,957",0.08%,35.31%,$7.00 ,100.00%
4/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,078,373,500",0,0,0.00%,0.00%,$0.00 ,0.00%
4/3/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"421,431","$2,652.15 ",$6.29 ,"946,160,900","1,720,416","2,137,047",0.18%,24.50%,$5.32 ,84.58%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"30,473","$1,175.88 ",$38.59 ,"608,738,400","87,629","87,658",0.01%,34.78%,$35.79 ,238.60%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE INCREMENTAL AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-e5ws-45159,$17.00 ,$0.00 ,0,$0.00 ,$0.00 ,"90,604,200",0,0,0.00%,0.00%,$0.00 ,0.00%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Display,KRG-wcg9-45157,$6.29 ,$0.00 ,0,$0.00 ,$0.00 ,"116,531,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Video,KRG-l5ia-45158,$7.29 ,$0.00 ,0,$0.00 ,$0.00 ,"116,531,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"89,896",$629.78 ,$7.01 ,"305,659,000","281,149","284,157",0.09%,31.97%,$7.00 ,100.00%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"166,373","$1,213.42 ",$7.29 ,"910,262,700","522,521","526,805",0.06%,31.84%,$7.29 ,100.00%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"410,216","$2,582.62 ",$6.30 ,"910,262,700","1,565,767","1,899,679",0.17%,26.20%,$5.39 ,85.69%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,127,314,300",0,0,0.00%,0.00%,$0.00 ,0.00%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"692,859","$12,727.05 ",$18.37 ,"608,738,400","3,010,367","3,191,132",0.49%,23.02%,$17.50 ,102.94%
4/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE INCREMENTAL AUDIENCE_Cross-Platform Runway,KRG-0hqh-45156,$7.00 ,$0.00 ,0,$0.00 ,$0.00 ,"43,168,100",0,0,0.00%,0.00%,$0.00 ,0.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Display,KRG-wcg9-45157,$6.29 ,$0.00 ,0,$0.00 ,$0.00 ,"905,519,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"61,284","$2,387.75 ",$38.96 ,"645,848,000","156,109","156,176",0.02%,39.26%,$35.77 ,238.47%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"96,882",$678.69 ,$7.01 ,"320,487,900","315,439","322,326",0.10%,30.71%,$7.00 ,100.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"164,183","$1,197.52 ",$7.29 ,"905,519,800","566,154","568,543",0.06%,29.00%,$7.29 ,100.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"387,739","$2,443.45 ",$6.30 ,"905,519,800","1,682,999","1,964,277",0.19%,23.04%,$5.55 ,88.24%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,540,754,900",0,0,0.00%,0.00%,$0.00 ,0.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE INCREMENTAL AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-e5ws-45159,$17.00 ,$0.00 ,0,$0.00 ,$0.00 ,"645,848,000",0,0,0.00%,0.00%,$0.00 ,0.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE INCREMENTAL AUDIENCE_Cross-Platform Runway,KRG-0hqh-45156,$7.00 ,$0.00 ,0,$0.00 ,$0.00 ,"320,487,900",0,0,0.00%,0.00%,$0.00 ,0.00%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"666,712","$12,559.53 ",$18.84 ,"645,848,000","2,925,720","3,138,117",0.45%,22.79%,$17.67 ,103.94%
4/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Video,KRG-l5ia-45158,$7.29 ,$0.00 ,0,$0.00 ,$0.00 ,"905,519,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE INCREMENTAL AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-e5ws-45159,$17.00 ,$0.00 ,0,$0.00 ,$0.00 ,"731,750,000",0,0,0.00%,0.00%,$0.00 ,0.00%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,690,845,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"157,817","$1,151.15 ",$7.29 ,"934,423,500","504,336","506,628",0.05%,31.29%,$7.30 ,100.14%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE INCREMENTAL AUDIENCE_Cross-Platform Runway,KRG-0hqh-45156,$7.00 ,$0.00 ,0,$0.00 ,$0.00 ,"355,975,000",0,0,0.00%,0.00%,$0.00 ,0.00%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"377,852","$2,384.31 ",$6.31 ,"934,423,500","1,582,067","1,819,052",0.17%,23.88%,$5.66 ,89.98%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"645,095","$12,388.90 ",$19.20 ,"731,750,000","2,471,840","2,709,665",0.34%,26.10%,$17.71 ,104.18%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"77,679","$2,909.73 ",$37.46 ,"731,750,000","184,872","184,908",0.03%,42.02%,$35.01 ,233.40%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"102,361",$717.03 ,$7.00 ,"355,975,000","309,700","315,514",0.09%,33.05%,$7.01 ,100.14%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Video,KRG-l5ia-45158,$7.29 ,$0.00 ,0,$0.00 ,$0.00 ,"934,423,500",0,0,0.00%,0.00%,$0.00 ,0.00%
4/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Display,KRG-wcg9-45157,$6.29 ,$0.00 ,0,$0.00 ,$0.00 ,"934,423,500",0,0,0.00%,0.00%,$0.00 ,0.00%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"159,290","$1,161.79 ",$7.29 ,"995,771,800","474,111","476,743",0.05%,33.60%,$7.30 ,100.14%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Display,KRG-wcg9-45157,$6.29 ,$0.00 ,0,$0.00 ,$0.00 ,"995,771,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"385,617","$2,429.68 ",$6.30 ,"995,771,800","1,447,317","1,591,338",0.15%,26.64%,$5.88 ,93.48%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE INCREMENTAL AUDIENCE_Cross-Platform Runway,KRG-0hqh-45156,$7.00 ,$0.00 ,0,$0.00 ,$0.00 ,"333,158,100",0,0,0.00%,0.00%,$0.00 ,0.00%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"89,781",$628.95 ,$7.01 ,"333,158,100","283,977","286,691",0.09%,31.62%,$7.01 ,100.14%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE INCREMENTAL AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-e5ws-45159,$17.00 ,$0.00 ,0,$0.00 ,$0.00 ,"691,556,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Video,KRG-l5ia-45158,$7.29 ,$0.00 ,0,$0.00 ,$0.00 ,"995,771,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,360,585,800",0,0,0.00%,0.00%,$0.00 ,0.00%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"65,855","$2,619.81 ",$39.78 ,"691,556,800","160,303","160,350",0.02%,41.08%,$36.92 ,246.13%
4/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"634,670","$12,216.76 ",$19.25 ,"691,556,800","2,404,508","2,533,995",0.35%,26.40%,$18.36 ,108.00%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"151,292","$1,103.20 ",$7.29 ,"953,112,900","588,859","592,650",0.06%,25.69%,$7.29 ,100.00%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"29,977","$1,023.13 ",$34.13 ,"649,087,700","99,845","99,855",0.02%,30.02%,$29.66 ,197.73%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,332,986,500",0,0,0.00%,0.00%,$0.00 ,0.00%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"406,658","$2,559.50 ",$6.29 ,"953,112,900","1,860,261","2,258,348",0.20%,21.86%,$5.38 ,85.53%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Video,KRG-l5ia-45158,$7.29 ,$0.00 ,0,$0.00 ,$0.00 ,"953,112,900",0,0,0.00%,0.00%,$0.00 ,0.00%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"656,351","$12,032.49 ",$18.33 ,"649,087,700","3,195,296","3,406,502",0.49%,20.54%,$17.36 ,102.12%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE INCREMENTAL AUDIENCE_Cross-Platform Venti Display,KRG-wcg9-45157,$6.29 ,$0.00 ,0,$0.00 ,$0.00 ,"953,112,900",0,0,0.00%,0.00%,$0.00 ,0.00%
4/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE INCREMENTAL AUDIENCE_Cross-Platform Runway,KRG-0hqh-45156,$7.00 ,$0.00 ,0,$0.00 ,$0.00 ,"329,374,600",0,0,0.00%,0.00%,$0.00 ,0.00%
